Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,06/06/2026 19:39
Gender,Not specified.
Age Group,Not specified.
Reason for Immigration,Not specified.
Labor Market Position,"The customer is looking for work and has been offered a role at a different company, but it's not clear if they have accepted the offer. They are also considering freelance work. 

However, based on the context, the most accurate answer is: ""Looking for work"""
Customer's Domicile,Not specified.
Duration of Residence in Finland,Not specified.
Country of Birth,Mexico.
Mother Tongue,Not specified.
Education Level,Not specified.
Topics,Visa status and the type of visa.
Additional Notes,"Services sought: Advice on whether to register as a freelancer and how it affects her visa status and taxation. Guidance: Information on the requirements for freelancing in Finland, the need to find a different grounds for residence permit, and the possibility of using NewCo Helsinki for business advisory services. Referrals: NewCo Helsinki; vero.fi (taxation website); TE (employment services); Kela (unemployment benefits)."
