Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,06/06/2026 19:45
Gender,Not specified.
Age Group,Not specified.
Reason for Immigration,Not specified.
Labor Market Position,Employed.
Customer's Domicile,Not specified.
Duration of Residence in Finland,Not specified.
Country of Birth,Not specified.
Mother Tongue,Not specified.
Education Level,Not specified.
Topics,Work visa and required documents for identification.
Additional Notes,"Services sought: Information about the impact of registering as a freelancer on her current visa and taxes in Finland. Guidance: Instructions on how to apply for self-employment and obtain a business ID, and information about the process and required documents. Referrals: Tax administration."
