Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,06/06/2026 19:43
Gender,Not specified.
Age Group,Not specified. There is no mention of the customer's age or any children in the provided context.
Reason for Immigration,Not specified.
Labor Market Position,The customer's labor market position is Not specified.
Customer's Domicile,Not specified.
Duration of Residence in Finland,Not specified.
Country of Birth,Mexico.
Mother Tongue,Not specified.
Education Level,Not specified.
Topics,"The topics discussed in this visit were:

1. Visa status
2. Allowed activities within the visa
3. A specific letter (D) on the visa
4. Current visa type"
Additional Notes,"Services sought: Advice on freelancing and its implications on visa status and residence permit. Guidance: Information on freelancing, visa requirements, and unemployment benefits; Referral to Newco Helsinki and ytj.fi for further assistance. Referrals: Newco Helsinki; ytj.fi."
