Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:05
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Work
Labor Market Position,Working in the open market
Customer's Domicile,Espoir
Duration of Residence in Finland,Less than 1 year
Topics,Child care options; Daycare centers; Kindergarten; Shift care; Education system in Finland; Applying for municipal early childhood education; Food provided in childcare; Private childcare options
Country of Birth,Not specified
Mother Tongue,Not specified
Education Level,Not specified
Additional Notes,"Services sought: Information about child care options, including daycare centers, kindergarten, and shift care, as well as education system in Finland and applying for municipal early childhood education.. Guidance provided: Information about child care options, including daycare centers, kindergarten, and shift care, as well as education system in Finland and applying for municipal early childhood education.. Referrals made: Expo city website."
