Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:12
Gender,Woman
Age Group,Adult 30-64
Reason for Immigration,Work
Labor Market Position,Unemployed job seeker
Customer's Domicile,Not specified
Duration of Residence in Finland,More than 5 years
Topics,Freelancing; Residence permit; Visa status; Unemployment benefits; Entrepreneurship; Newco Helsinki; Ytj.fi; Vero.fi
Country of Birth,Mexico
Mother Tongue,Spanish
Education Level,University / higher
Additional Notes,"Services sought: Advice on freelancing and its implications on her visa status and residence permit.. Guidance provided: Information on the process of registering as a freelancer, the requirements for a residence permit, and the resources available for entrepreneurship and freelancing, such as Newco Helsinki and Ytj.fi.. Referrals made: Newco Helsinki; Ytj.fi; Vero.fi."
