Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:04
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Otaniemi
Duration of Residence in Finland,More than 5 years
Topics,Early childhood education; Kela benefits; Residence permit; Daycare; Kindergarten; Government services; Language support; Online services
Country of Birth,Not specified
Mother Tongue,Chinese
Education Level,Not specified
Additional Notes,"Services sought: Information about the Finnish child care system, specifically finding a place for her 3-year-old child in a kindergarten or daycare.. Guidance provided: Information about the different types of childcare in Finland, the application process for municipal daycare, and the importance of having a permanent residence in Finland.. Referrals made: The ESPO early education website, and the possibility of discussing with the kindergarten or daycare service.."
