Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:24
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Less than 1 year
Topics,Daycare options; Municipal vs private daycare; English-speaking daycare; Daycare fees; Early childhood education; Kela benefits; Residence permit
Country of Birth,England
Mother Tongue,English
Education Level,University / higher
Additional Notes,"Services sought: Information about daycare options and fees for a 3-year-old child, specifically English-speaking daycare. Guidance provided: Information about municipal and private daycare options, including fees and application processes, as well as guidance on how to apply for a spot in an English-speaking daycare. Referrals made: Ivaka (online services for daycare centers and booking attendance times), espo.fi (Espoo's website for early childhood education and daycare information)."
