Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:13
Gender,Woman
Age Group,Adult 30-64
Reason for Immigration,Work
Labor Market Position,Unemployed job seeker
Customer's Domicile,Espoo
Duration of Residence in Finland,1-3 years
Topics,Freelance registration; Taxes; Visa status; Business ID; Residence permit; Self-employment
Country of Birth,India
Mother Tongue,Not specified
Education Level,University / higher
Additional Notes,"Services sought: Information about the impact of registering as a freelancer on her current visa and taxes in Finland.. Guidance provided: Instructions on how to apply for a change of visa status to self-employment, obtain a business ID, and register as a freelancer.. Referrals made: Tax administration."
