Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:26
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Not specified
Topics,Early childhood education; Daycare system; EEWACA; Espoo city website; Fee calculator; Integration and language support; Preprimary education; Private daycare; Municipal daycare; Waiting list
Country of Birth,Not specified
Mother Tongue,Not specified
Education Level,Not specified
Additional Notes,"Services sought: Information on the daycare system, costs, and options in Espoo. Guidance provided: Explanation of the EEWACA system, municipal and private daycare options, fee calculator, and preprimary education. Referrals made: EEWACA system; Espoo city website; Municipal and private daycare centers."
