Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:07
Gender,Woman
Age Group,Adult 30-64
Reason for Immigration,Work
Labor Market Position,Unemployed job seeker
Customer's Domicile,Espoo
Duration of Residence in Finland,1-3 years
Topics,Freelance registration; Self-employment; Visa status; Taxes; Business ID; Residence permit; Employment contract
Country of Birth,India
Mother Tongue,Not specified
Education Level,University / higher
Additional Notes,"Services sought: Information about the impact of freelance registration on her current visa and taxes in Finland.. Guidance provided: Instructions on how to apply for self-employment and register as a freelancer, including the necessary steps and documents required.. Referrals made: Tax administration."
