Question,Answer
Conversation Start,00:00:00
Conversation End,00:10:41
Duration (formatted),10 min 40 sec
Duration (seconds),640.91
---,---
Control Location,
Date & Time,
Visit Duration,10 min 40 sec
Contact Method,
Heard From,
"If Other, WHERE?",
Number of Customers,
Gender,
Age Group,
Reason for Immigration,
Additional Info,
Country of Birth,
Mother Tongue,
Education Level,
Labor Market Position,
Customer's Domicile,
Duration of Residence in Finland,
Topic of Discussion,Residence; Benefits (e.g. Kela); Legal matters; Finance; Work; Studying Finnish/Swedish
Purpose of Visit,
Additional Information Notes,
Where the Customer is Directed / Referred,
Other Feedback,
