Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,01/06/2026 07:56
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,No information
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Less than 3 months
Topics,Early childhood education; Child care options; Language support; Education system; Meals in daycare; Shift care; Application process; Municipal services
Country of Birth,Not specified
Mother Tongue,Not specified
Education Level,No information
Additional Notes,"Services sought: The customer was looking for child care options for her 3-year-old daughter and information on how to apply for these services.. Guidance provided: The customer was guided on how to find daycare centers in Espoo, the application process, language support available, meal provisions, and the education system in Finland.. Referrals made: Espo City website."
