Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,01/06/2026 08:08
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Work
Labor Market Position,Working in the open market
Customer's Domicile,Lehtisaari
Duration of Residence in Finland,Less than 1 year
Topics,Early childhood education; Daycare options; Daycare fees; Daycare application process; Daycare meals; Daycare age groups
Country of Birth,England
Mother Tongue,English
Education Level,No information
Additional Notes,"Services sought: Information about daycare options for her 3-year-old daughter and related processes.. Guidance provided: Explained different types of daycare, application processes, fees, and provided websites for further information.. Referrals made: BilgePajverkodit.fi; Espoo.fi."
