Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,01/06/2026 08:00
Gender,Woman
Age Group,Adult 30-64
Reason for Immigration,Work
Labor Market Position,Unemployed job seeker
Customer's Domicile,Espoo
Duration of Residence in Finland,1-3 years
Topics,Freelancer status; Residence permit; Taxes; Business ID; Self-employment
Country of Birth,India
Mother Tongue,Not specified
Education Level,University / higher
Additional Notes,"Services sought: Information about changing to freelancer status and its impact on visa and taxes.. Guidance provided: Instructions on changing residence permit status, obtaining a business ID, and applying for self-employment.. Referrals made: Tax administration office."
